,id,age,income,children,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
0,ID12101,0.6122448979591837,0.21563448481990038,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
1,ID12102,0.4489795918367347,0.4313947527948036,1.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
2,ID12103,0.673469387755102,0.19893337261117403,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
3,ID12104,0.10204081632653061,0.26431996481513065,1.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
4,ID12105,0.7959183673469388,0.7839867891552552,0.0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
5,ID12106,0.7959183673469388,0.5653426283241985,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
6,ID12107,0.08163265306122448,0.06646822409499363,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
7,ID12108,0.8163265306122449,0.3429765938369007,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
8,ID12109,0.3877551020408163,0.34913153700304683,0.6666666666666666,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
9,ID12110,0.7346938775510204,0.33033805384379383,0.6666666666666666,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
10,ID12111,0.9795918367346939,0.9427660834239999,0.0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
11,ID12112,0.6938775510204082,0.3724384157241677,0.0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
12,ID12113,0.5306122448979592,0.18448637713368926,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
13,ID12114,0.9795918367346939,0.8636276584596743,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
14,ID12115,0.3673469387755102,0.24881990106320317,0.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
15,ID12116,0.40816326530612246,0.29816096768026784,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
16,ID12117,0.3877551020408163,0.21879713104281806,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
17,ID12118,0.5714285714285714,0.6194827266690746,0.0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
18,ID12119,0.8979591836734694,0.3767470480104495,0.0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
19,ID12120,0.2653061224489796,0.30127027220954544,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
20,ID12121,0.8775510204081632,0.9096735849696185,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
21,ID12122,0.6530612244897959,0.1975895060714032,0.6666666666666666,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
22,ID12123,0.7346938775510204,0.5752710661404308,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
23,ID12124,0.1836734693877551,0.18109659853785257,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
24,ID12125,0.08163265306122448,0.1312221149843872,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
25,ID12126,0.7755102040816326,0.6197924526321459,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
26,ID12127,0.5510204081632653,0.27179296402412495,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
27,ID12128,0.42857142857142855,0.25982205555141635,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
28,ID12129,0.42857142857142855,0.4189024722842582,1.0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
29,ID12130,0.8775510204081632,0.33133605972480157,0.3333333333333333,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
30,ID12131,0.8775510204081632,0.30849893204767237,0.6666666666666666,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
31,ID12132,0.04081632653061224,0.19463850592325094,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
32,ID12133,0.5510204081632653,0.3171075931212617,0.3333333333333333,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
33,ID12134,0.30612244897959184,0.42857624653085413,1.0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0
34,ID12135,0.5102040816326531,0.5593597551375364,0.0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
